,id_colonia,colonia_hechos,safety_degree,ranking
0,287,CAMPO DE TIRO LOS GAMITOS,100.0,1
1,1424,SECTOR MARINA,100.0,2
2,1281,SAN JUAN TEPENAHUAC,100.0,3
3,1574,VILLA DE LA NORIA,100.0,4
4,800,LOMA BONITA,100.0,5
5,882,LÁZARO TATA,100.0,6
6,890,MALVINAS PRIMERO,100.0,7
7,921,MILPA LOS CERROS,100.0,8
8,238,BELEN DE LAS FLORES SECCION TURBINA,100.0,9
9,1006,PARAJE DEL CABALLITO,100.0,10
10,236,BELEN DE LAS FLORES SECCION PABELLONES,100.0,11
11,1621,ZONA FEDERAL,100.0,12
12,268,CABEZA DE JUAREZ II,100.0,13
13,1176,RESIDENCIAL SANTIAGO,100.0,14
14,1466,TEPEYECA,100.0,15
15,602,Guadalupita,100.0,16
16,1594,VISTA HERMOSA I,100.0,17
17,1143,QUETZALCOATL 3,100.0,18
18,1200,RIO DE GUADALUPE FOVISSSTE,100.0,19
19,636,INFONAVIT,100.0,20
20,282,CAMPAMENTO LA ESMERALDA,100.0,21
21,459,EL MIRADOR DEL PUEBLO TETELPAN,100.0,22
22,891,MALVINAS SEGUNDO,100.0,23
23,412,DIF,100.0,24
24,454,EL MIRADOR (NATIVITAS),100.0,25
25,1454,TEMPRANILLO,100.0,26
26,551,FOVISSSTE CUCHILLA,100.0,27
27,1472,TEZONTITLA,100.0,28
28,569,GAVILAN I II III Y IV,100.0,29
29,159,AREA FEDERAL SUB ESTACION ELECTRICA,99.99,30
30,878,LOTERÍA NACIONAL,99.99,31
31,1055,PERIFÉRICO,99.99,32
32,306,CAÑADA DEL OLIVAR,99.99,33
33,993,OTRA,99.99,34
34,762,LADERA,99.99,35
35,1238,SAN DIEGO,99.99,36
36,1618,ZONA DE RESERVA ECOLOGICA,99.99,37
37,1090,POTRERO ACOXPA,99.99,38
38,1188,RINCONADA COYOACAN,99.99,39
39,261,BOSQUES RESIDENCIAL CIPRES,99.99,40
40,1195,RINCONADA SANTA TERESA,99.99,41
41,978,NUEVA TOTOTITLA,99.99,42
42,420,DR. PEDRO R BERNABÉ,99.99,43
43,1066,PIRU XOCOMECATLA,99.99,44
44,682,JOYAS DE GUADALUPE,99.99,45
45,1589,VILLA VALBADENA,99.99,46
46,269,CABEZA DE JUAREZ III,99.99,47
47,321,CERRO DEL JUDIO,99.99,48
48,1514,TRONCOSO,99.99,49
49,1534,UNIVERSAL,99.98,50
50,524,ESTRELLA SANTA FE,99.98,51
51,357,COPILCO,99.98,52
52,1457,TENORIOS 1,99.98,53
53,1575,VILLA DE SAN FRANCISCO,99.98,54
54,1215,SAN AGUSTÍN DEL PUEBLO TETELPAN,99.98,55
55,799,LOCAXCO,99.98,56
56,1196,RINCÓN DE GUANAJUATO,99.98,57
57,986,OCOTLA,99.98,58
58,1047,PEMEX LINDAVISTA,99.98,59
59,346,COMPAÑÍA DE LUZ,99.98,60
60,841,LOMAS DEL CAPULIN,99.98,61
61,1518,U.S.I.T.A.T.Y.R.,99.98,62
62,307,CEDROS SANTA LUCIA,99.98,63
63,1459,TENORIOS FOVISSSTE,99.98,64
64,1316,SAN MIGUEL 2 SECCION,99.98,65
65,1115,PROLONGACION LOS ANGELES,99.98,66
66,446,EL HUESO INFONAVIT,99.98,67
67,1595,VISTAS DEL MAUREL,99.98,68
68,1577,VILLA DEL SUR,99.98,69
69,941,MORAZAN,99.97,70
70,344,COLORINES,99.97,71
71,78,ALTILLO UNIVERSIDAD,99.97,72
72,613,HUAUTLA DE LAS SALINAS,99.97,73
73,249,BOSCOSO,99.97,74
74,1504,TORRES DE SAN JUAN,99.97,75
75,552,FOVISSSTE PERIFÉRICO,99.97,76
76,1171,RESIDENCIAL LA CANTERA,99.97,77
77,861,LOS GAMITOS,99.97,78
78,404,DEL PARQUE,99.96,79
79,411,DIAMANTE,99.96,80
80,1338,SAN PEDRO MÁRTIR FOVISSSTE,99.96,81
81,897,MARIANA,99.96,82
82,1437,SIRACUSA 240,99.96,83
83,519,ESTADO DE VERACRUZ,99.96,84
84,1029,PEDREGAL 2,99.95,85
85,889,MALVINAS MEXICANAS,99.95,86
86,481,EL RUEDO,99.95,87
87,724,LA JOYITA DEL PUEBLO TETELPAN,99.94,88
88,829,LOMAS DE SAN PEDRO,99.93,89
89,1344,SAN SALVADOR CUAUHTENCO SECCION II,99.93,90
90,872,LOS ROBLES,99.91,91
91,1145,QUIRINO MENDOZA,99.9,92
92,1173,RESIDENCIAL MAR DE LA TRANQUILIDAD,99.38,93
93,1373,SANTA CRUZ CHAVARRIETA,99.38,94
94,1065,PIRU SANTA LUCIA,99.26,95
95,342,COLINAS DEL BOSQUE,99.21,96
96,833,LOMAS DE SANTO DOMINGO,99.18,97
97,537,FAROLES DEL PEDREGAL,99.13,98
98,904,MEMETLA,99.11,99
99,1155,REAL DEL SUR,99.11,100
100,918,MILITAR 1 K LOMAS DE SOTELO,99.06,101
101,1491,TLALPAN FOVISSSTE,99.01,102
102,1529,UNIDAD NARVARTE IMSS,98.97,103
103,579,GOLONDRINAS 2A SECCIÓN,98.97,104
104,433,EL ARENAL,98.97,105
105,769,LAS AGUILAS SECCION HORNOS,98.96,106
106,777,LAS HUERTAS,98.88,107
107,996,PACIFICO,98.78,108
108,1450,TEHUIXTITLA,98.78,109
109,1591,VILLAS COPILCO,98.75,110
110,316,CENTRO URBANO PRESIDENTE MIGUEL ALEMÁN,98.74,111
111,339,COLEGIO MEXICO,98.69,112
112,442,EL ENCANTO,98.69,113
113,1032,PEDREGAL DE COYOACÁN,98.64,114
114,995,P.R.I.,98.64,115
115,300,CASA DEL AGRONOMO,98.64,116
116,894,MANZANASTITLA,98.63,117
117,1020,PARQUE TARANGO,98.62,118
118,825,LOMAS DE REFORMA,98.56,119
119,335,CLUB DE GOLF BOSQUES,98.51,120
120,421,DURAZNOTITLA,98.48,121
121,510,ESPACIO ECOLOGICO CUICUILCO,98.47,122
122,1052,PEQUE?A TEPEXIMILPA,98.47,123
123,83,AMPLIACION DEL CARMEN,98.4,124
124,383,CUCHILLA TEPEXIMILPA,98.37,125
125,792,LI LEGISLATURA,98.37,126
126,1137,Paseo de las Lomas (Alta Vista),98.37,127
127,1175,RESIDENCIAL PEDREGAL PICACHO,98.37,128
128,649,ISIDRO FABELA SECCION CANTIL,98.34,129
129,779,LAS MAROMAS,98.3,130
130,46,ACUILOTLA,98.26,131
131,1139,Pueblo San Antonio Tecomitl (LAS JOYAS),98.25,132
132,184,AZTLAN LOS APACHES,98.25,133
133,57,AGUA BENDITA,98.23,134
134,903,MEDIA LUNA,98.21,135
135,1031,PEDREGAL DE CARRASCO,98.11,136
136,1151,REAL DE LAS LOMAS,98.11,137
137,1458,TENORIOS 2,98.11,138
138,1422,SEARS ROEBUCK,98.11,139
139,912,MIGUEL GAONA ARMENTA,98.11,140
140,1478,TIZAMPAMPANO DEL PUEBLO TETELPAN,98.06,141
141,1046,PEDREGAL DEL SUR,98.05,142
142,680,JOSÉ MARIA MORELOS Y PAVÓN 2,98.03,143
143,1030,PEDREGAL DE AMINCO,98.03,144
144,1596,VISTAS DEL PEDREGAL,98.01,145
145,1193,RINCONADA LAS HADAS,97.98,146
146,392,CUMBRES DE TEPETONGO,97.97,147
147,1174,RESIDENCIAL MIRAMONTES,97.91,148
148,1191,RINCONADA DEL SUR,97.83,149
149,114,AMPLIACIÓN LA CONCHITA,97.82,150
150,232,BATALLÓN DE SAN PATRICIO,97.8,151
151,1582,VILLA MILPA ALTA CENTRO,97.77,152
152,1525,UNIDAD KENNEDY,97.74,153
153,1243,SAN FRANCISCO,97.71,154
154,36,AARÓN SÁENZ,97.71,155
155,935,MOLINO DE ROSAS,97.69,156
156,190,BARRIO 3 DE MAYO,97.64,157
157,817,LOMAS DE LAS ÁGUILAS,97.63,158
158,780,LAS PALMAS,97.62,159
159,1511,TRES MOSQUETEROS,97.6,160
160,662,JARDINES DE LA PALMA,97.59,161
161,1152,REAL DEL BOSQUE,97.55,162
162,414,DIVISIÓN DEL NORTE INFONAVIT,97.55,163
163,801,LOMA DEL OCOTE,97.5,164
164,946,MÁRTIRES DE TLATELOLCO,97.5,165
165,846,LOMAS ESTRELLA,97.45,166
166,336,CLUB DE GOLF MÉXICO,97.45,167
167,430,EL ARBOL AMPLIACION,97.43,168
168,176,ATLAMAYA,97.32,169
169,326,CHIMALLI,97.3,170
170,683,JOYAS DEL PEDREGAL,97.29,171
171,1558,VERGEL COAPA,97.26,172
172,595,GUADALUPE TLALPAN,97.26,173
173,940,MONTE DE PIEDAD,97.25,174
174,1166,RESIDENCIAL ACOXPA,97.25,175
175,434,EL BOSQUE - CONDOMINIO,97.23,176
176,1541,VALLE DE LUCES 3A SECCION,97.23,177
177,1074,PLAZUELA DEL PEDREGAL,97.23,178
178,502,EQUIPAMIENTO PREPARATORIA NUM. 5,97.23,179
179,1150,REACOMODO PINO SUÁREZ,97.23,180
180,1147,RANCHO LOS COLORINES,97.23,181
181,645,INSURGENTES SAN BORJA,97.21,182
182,849,LOMAS HERMOSA,97.19,183
183,1035,PEDREGAL DE MONSERRAT,97.18,184
184,1018,PARQUE RECREATIVO SANTA CRUZ MEYEHUALCO,97.16,185
185,492,EL ÉBANO,97.15,186
186,513,ESTACIÓN PANTACO,97.14,187
187,1169,RESIDENCIAL EMPERADORES,97.13,188
188,1528,UNIDAD MORELOS,97.12,189
189,1345,SAN SALVADOR CUAUHTENCO SECCION III,97.12,190
