,nombre_estacion,primera_linea,segunda_linea,tercera_linea,cuarta_linea,calif_estacion,ranking_estacion,colonia,calif_colonia,ranking_colonia,stop_lat,stop_lon,afluencia_promedio
0,Zapotitlán,Metro 12,Ninguna,Ninguna,Ninguna,100.0,1,La Draga,96.05,276,19.29639028,-99.03402328,6293
1,Tecnológico,Metro B,Ninguna,Ninguna,Ninguna,100.0,1,No Disponible,No Disponible,No Disponible,19.51470467,-99.03568625,28577
2,Olímpica,Metro B,Ninguna,Ninguna,Ninguna,100.0,1,No Disponible,No Disponible,No Disponible,19.52084286,-99.03298259,18907
3,Múzquiz,Metro B,Ninguna,Ninguna,Ninguna,100.0,1,No Disponible,No Disponible,No Disponible,19.50096117,-99.04171586,33639
4,Ciudad Azteca,Metro B,Ninguna,Ninguna,Ninguna,100.0,1,No Disponible,No Disponible,No Disponible,19.53444312,-99.02711391,60232
5,Talismán_1_2,Metro 4,Ninguna,Ninguna,Ninguna,100.0,1,Granjas Modernas,91.07,1074,19.47415847,-99.10779476,6053
6,Valle Gómez,Metro 5,Ninguna,Ninguna,Ninguna,100.0,1,Valle Gómez,89.88,1238,19.45868169,-99.11988616,4466
7,Plaza Aragón,Metro B,Ninguna,Ninguna,Ninguna,100.0,1,No Disponible,No Disponible,No Disponible,19.52822456,-99.02979612,21277
8,Nezahualcóyotl,Metro B,Ninguna,Ninguna,Ninguna,100.0,1,Ampliación Providencia,93.76,625,19.472534,-99.054375,24313
9,Impulsora,Metro B,Ninguna,Ninguna,Ninguna,100.0,1,San Felipe De Jesús,82.87,1594,19.484987,-99.048743,26640
10,La Paz,Metro A,Ninguna,Ninguna,Ninguna,100.0,1,Ampliación Santa Catarina,88.02,1427,19.35048513,-98.96061659,33650
11,Aculco,Metro 8,Ninguna,Ninguna,Ninguna,100.0,1,El Sifón,88.93,1351,19.37292574,-99.10739779,9976
12,Consulado,Metro 4,Metro 5,Ninguna,Ninguna,100.0,1,Mártires De Río Blanco,86.59,1502,19.45682033,-99.11388874,4804
13,Los Reyes,Metro A,Ninguna,Ninguna,Ninguna,100.0,1,San Miguel Teotongo,85.39,1544,19.35877546,-98.97670984,18827
14,Río de los Remedios_1,Metro B,Ninguna,Ninguna,Ninguna,100.0,1,San Felipe De Jesús,82.87,1594,19.49024062,-99.04635072,21593
15,Tlaltenco,Metro 12,Ninguna,Ninguna,Ninguna,99.72,2,Santiago Sur,89.12,1331,19.294555,-99.023829,1400
16,Bondojito_1,Metro 4,Ninguna,Ninguna,Ninguna,99.72,3,Bondojito,92.34,872,19.46450842,-99.1117537,6645
17,Tezozómoc,Metro 6,Ninguna,Ninguna,Ninguna,99.72,4,Santa Ines,91.96,943,19.49448847,-99.19593215,No Disponible
18,Obrera,Metro 8,Ninguna,Ninguna,Ninguna,99.45,5,Doctores,57.0,1626,19.41301153,-99.14392948,13757
19,Canal del Norte_1,Metro 4,Ninguna,Ninguna,Ninguna,99.45,6,Morelos,76.6,1614,19.44866652,-99.11589503,8943
20,Santa Anita,Metro 8,Metro 4,Ninguna,Ninguna,99.45,7,Santa Anita,92.72,793,19.40397512,-99.12136674,5043
21,Azcapotzalco_1,Metro 6,Ninguna,Ninguna,Ninguna,99.45,8,Santo Tomas,92.33,873,19.49067553,-99.18621182,8074
22,Autobuses del Norte,Metro 5,Ninguna,Ninguna,Ninguna,99.45,9,Pro-Hogar,89.25,1319,19.478595,-99.140471,23681
23,El Rosario_1,Metro 6,Metro 7,Ninguna,Ninguna,99.45,10,El Rosario,84.16,1577,19.50522896,-99.19948339,27207
24,Jamaica_1,Metro 4,Metro 9,Ninguna,Ninguna,99.45,11,Artes Graficas,94.84,435,19.41014786,-99.12203193,9789
25,Juanacatlán,Metro 1,Ninguna,Ninguna,Ninguna,99.45,12,Escandón I Sección,86.14,1517,19.41290022,-99.18207049,12857
26,Escuadrón 201,Metro 8,Ninguna,Ninguna,Ninguna,99.45,13,Escuadrón 201,90.03,1220,19.36449442,-99.10931826,23929
27,Vallejo,Metro 6,Ninguna,Ninguna,Ninguna,99.17,14,Industrial Vallejo,89.51,1279,19.49031142,-99.15479779,7008
28,Misterios,Metro 5,Ninguna,Ninguna,Ninguna,99.17,15,Ex-Hipódromo De Peralvillo,92.59,821,19.46290002,-99.13051844,8515
29,Politécnico,Metro 5,Ninguna,Ninguna,Ninguna,99.17,16,Jorge Negrete,89.89,1236,19.499964,-99.148806,34369
30,Cuatro Caminos,Metro 2,Ninguna,Ninguna,Ninguna,99.17,17,San Joaquín,92.3,880,19.458454,-99.214643,115794
31,Iztapalapa,Metro 8,Ninguna,Ninguna,Ninguna,99.17,18,San Ignacio,89.71,1257,19.35760127,-99.09341812,10517
