,nombre_estacion,ranking_estacion,calificacion_seguridad
0,Plaza Aragón,1,100.0
1,Zapotitlán,1,100.0
2,La Paz,1,100.0
3,Aculco,1,100.0
4,Tecnológico,1,100.0
5,Consulado,1,100.0
6,Olímpica,1,100.0
7,Río de los Remedios_1,1,100.0
8,Múzquiz,1,100.0
9,Nezahualcóyotl,1,100.0
10,Los Reyes,1,100.0
11,Impulsora,1,100.0
12,Valle Gómez,1,100.0
13,Talismán_1_2,1,100.0
14,Ciudad Azteca,1,100.0
15,Tlaltenco,2,99.72
16,Bondojito_1,3,99.72
17,Tezozómoc,4,99.72
18,Obrera,5,99.45
19,Canal del Norte_1,6,99.45
20,Santa Anita,7,99.45
21,Azcapotzalco_1,8,99.45
22,Autobuses del Norte,9,99.45
23,El Rosario_1,10,99.45
24,Jamaica_1,11,99.45
25,Juanacatlán,12,99.45
26,Escuadrón 201,13,99.45
27,Vallejo,14,99.17
28,Misterios,15,99.17
29,Politécnico,16,99.17
30,Cuatro Caminos,17,99.17
31,Iztapalapa,18,99.17
32,Lindavista,19,98.89
33,R. Flores Magón,20,98.89
34,Doctores,21,98.89
35,Terminal Aérea,22,98.89
36,Instituto del Petróleo_1,23,98.89
37,Ferrería,24,98.89
38,Tepito,25,98.61
39,Morelos_1_2,26,98.61
40,Martín Carrera_1_2,27,98.61
41,Acatitla,28,98.61
42,Colegio Militar,29,98.61
43,Eje Central_1_3,30,98.61
44,Chabacano_1,31,98.61
45,San Andrés Tomatlán,32,98.61
46,Santa Anita_1,33,98.61
47,Refinería,34,98.61
48,Nopalera,35,98.61
49,Canal de San Juan_1_3,36,98.34
50,Deportivo 18 de Marzo_1_4,37,98.34
51,Consulado_1,38,98.34
52,Norte 45_1,39,98.34
53,Peñón Viejo,40,98.34
54,Santa Marta,41,98.34
55,Eduardo Molina_1,42,98.34
56,Agrícola Oriental,43,98.34
57,Apatlaco,44,98.34
58,Aragón,45,98.34
59,Aquiles Serdán,46,98.34
60,La Viga_1,47,98.34
61,La Villa - Basílica,48,98.34
