,nombre_estacion,stop_lat,stop_lon,primera_estacion,segunda_estacion,tercera_estacion,cuarta_estacion
0,Colegio Militar,19.44864628,-99.17122364,Metro 2,Ninguna,Ninguna,Ninguna
1,Chapultepec,19.42025648,-99.17658806,Metro 1,Ninguna,Ninguna,Ninguna
2,Apatlaco,19.378298,-99.10934,Metro 8,Ninguna,Ninguna,Ninguna
3,Calle 11,19.32025578,-99.08486724,Metro 12,Ninguna,Ninguna,Ninguna
4,Oceanía,19.44542916,-99.08690572,Metro 5,Metro B,Ninguna,Ninguna
5,Mixcoac,19.37567873,-99.18686628,Metro 12,Metro 7,Ninguna,Ninguna
6,Puebla,19.40697045,-99.08233523,Metro 9,Ninguna,Ninguna,Ninguna
7,La Raza_1_3,19.468965,-99.136176,Metro 5,Metro 3,Ninguna,Ninguna
8,Jamaica,19.40894369,-99.12227869,Metro 9,Metro 4,Ninguna,Ninguna
9,Cuauhtémoc_1_2,19.42565962,-99.15455103,Metro 1,Ninguna,Ninguna,Ninguna
10,Ferrería,19.49039233,-99.173702,Metro 6,Ninguna,Ninguna,Ninguna
11,Ermita,19.36186271,-99.14263129,Metro 2,Ninguna,Ninguna,Ninguna
12,Tacuba_1,19.45913691,-99.18803573,Metro 2,Metro 7,Ninguna,Ninguna
13,Tasqueña,19.34400644,-99.14105415,Metro 2,Ninguna,Ninguna,Ninguna
14,Velódromo,19.40811392,-99.10283804,Metro 9,Ninguna,Ninguna,Ninguna
15,Xola_1,19.3950293,-99.13758874,Metro 2,Ninguna,Ninguna,Ninguna
16,Constitución de 1917,19.345135,-99.063367,Metro 8,Ninguna,Ninguna,Ninguna
17,Agrícola Oriental,19.40404596,-99.06982541,Metro A,Ninguna,Ninguna,Ninguna
18,Eje Central_1_3,19.36118453,-99.15133238,Metro 12,Ninguna,Ninguna,Ninguna
19,Copilco,19.33597857,-99.17657733,Metro 3,Ninguna,Ninguna,Ninguna
20,Talismán_1_2,19.47415847,-99.10779476,Metro 4,Ninguna,Ninguna,Ninguna
21,Potrero_1_2,19.476413,-99.131748,Metro 3,Ninguna,Ninguna,Ninguna
22,Instituto del Petroleo,19.49054404,-99.14638638,Metro 6,Metro 5,Ninguna,Ninguna
23,Hospital General_1,19.41369961,-99.1531992,Metro 3,Ninguna,Ninguna,Ninguna
24,General Anaya,19.35319801,-99.14478779,Metro 2,Ninguna,Ninguna,Ninguna
25,Hospital 20 de Nov.,19.37192372,-99.17099833,Metro 12,Ninguna,Ninguna,Ninguna
26,Pantitlán_1_2,19.41616858,-99.07434225,Metro 1,Metro 5,Metro 9,Metro A
27,Nativitas,19.37938304,-99.13987398,Metro 2,Ninguna,Ninguna,Ninguna
28,Valle Gómez,19.45868169,-99.11988616,Metro 5,Ninguna,Ninguna,Ninguna
29,Miguel Ángel de Quevedo,19.34651696,-99.18053627,Metro 3,Ninguna,Ninguna,Ninguna
30,Niños Héroes_1,19.41946724,-99.15023804,Metro 3,Ninguna,Ninguna,Ninguna
31,Lagunilla,19.44300109,-99.13107634,Metro B,Ninguna,Ninguna,Ninguna
32,Mexicaltzingo,19.35744944,-99.12191391,Metro 12,Ninguna,Ninguna,Ninguna
33,Politécnico,19.499964000000002,-99.14880600000001,Metro 5,Ninguna,Ninguna,Ninguna
34,San Joaquín,19.44553033,-99.19160843,Metro 7,Ninguna,Ninguna,Ninguna
35,Tepalcates_1,19.39072824,-99.04651165,Metro A,Ninguna,Ninguna,Ninguna
36,Zócalo,19.432602,-99.131879,Metro 2,Ninguna,Ninguna,Ninguna
37,Instituto del Petróleo_1,19.48983606,-99.14455175,Metro 6,Metro 5,Ninguna,Ninguna
